relativt støjniveau;co2 (ppm);temprature (C);relativ luftfugtighed (%RH)
12;959;21;40
252;959;21;40
128;959;21;40
0;959;21;40
0;959;21;40
6;959;21;40
3;959;21;40
6;959;21;40
16;959;21;40
18;959;21;40
6;959;21;40
11;959;21;40
12;959;21;40
14;959;21;40
10;959;21;40
13;959;21;40
8;959;21;40
10;959;21;40
12;959;21;40
107;959;21;40
9;959;21;40
2;959;21;40
222;959;21;40
182;959;21;40
21;959;21;40
12;959;21;40
8;959;21;40
8;959;21;40
17;959;21;40
5;959;21;40
8;959;21;40
9;959;21;40
13;959;21;40
11;959;21;40
20;959;21;40
12;959;21;40
8;959;21;40
2;959;21;40
1;959;21;40
248;959;21;40
155;959;21;40
0;959;21;40
8;959;21;40
10;958;21;40
9;958;21;40
8;958;21;40
13;958;21;40
9;958;21;40
10;958;21;40
12;958;21;40
9;958;21;40
11;958;21;40
6;958;21;40
5;958;21;40
8;958;21;40
9;958;21;40
246;958;21;40
94;958;21;40
4;958;21;40
2;958;21;40
11;958;21;40
7;955;21;40
6;955;21;40
12;955;21;40
10;955;21;40
16;955;21;40
20;955;21;40
16;955;21;40
8;955;21;40
6;955;21;40
20;955;21;40
7;955;21;40
15;955;21;40
7;955;21;40
111;955;21;40
1;955;21;40
1;955;21;40
236;955;21;40
181;955;21;40
12;955;21;40
10;955;21;40
13;955;21;40
6;955;21;40
11;955;21;40
9;955;21;40
1;955;21;40
14;955;21;40
11;955;21;40
9;955;21;40
14;955;21;40
7;955;21;40
22;955;21;40
11;955;21;40
2;955;21;40
280;955;21;40
141;955;21;40
3;955;21;40
4;955;21;40
9;954;21;40
18;954;21;40
11;954;21;40
8;954;21;40
7;954;21;40
25;954;21;40
13;954;21;40
21;954;21;40
8;954;21;40
22;954;21;40
18;954;21;40
5;954;21;40
11;954;21;40
283;954;21;40
99;954;21;40
8;954;21;40
1;954;21;40
242;954;21;40
10;952;21;40
22;952;21;40
11;952;21;40
15;952;21;40
10;952;21;40
9;952;21;40
8;952;21;40
18;952;21;40
7;952;21;40
6;952;21;40
15;952;21;40
8;952;21;40
13;952;21;40
96;952;21;40
4;952;21;40
1;952;21;40
270;952;21;40
130;952;21;40
18;952;21;40
22;950;21;40
12;950;21;40
21;950;21;40
9;950;21;40
14;950;21;40
16;950;21;40
24;950;21;40
14;950;21;40
12;950;21;40
9;950;21;40
7;950;21;40
8;950;21;40
9;950;21;40
3;950;21;40
259;950;21;40
126;950;21;40
0;950;21;40
9;950;21;40
30;948;21;40
18;948;21;40
9;948;21;40
11;948;21;40
11;948;21;40
16;948;21;40
15;948;21;40
12;948;21;40
13;948;21;40
7;948;21;40
12;948;21;40
10;948;21;40
11;948;21;40
306;948;21;40
127;948;21;40
4;948;21;40
3;948;21;40
226;948;21;40
12;948;21;40
11;946;21;40
10;946;21;40
6;946;21;40
18;946;21;40
14;946;21;40
20;946;21;40
10;946;21;40
0;946;21;40
13;946;21;40
12;946;21;40
15;946;21;40
6;946;21;40
20;946;21;40
5;946;21;40
1;946;21;40
259;946;21;40
163;946;21;40
8;946;21;40
14;944;21;40
4;944;21;40
22;944;21;40
15;944;21;40
8;944;21;40
6;944;21;40
18;944;21;40
7;944;21;40
25;944;21;40
7;944;21;40
8;944;21;40
4;944;21;40
12;944;21;40
2;944;21;40
260;944;21;40
126;944;21;40
1;944;21;40
0;944;21;40
10;945;21;40
10;945;21;40
8;945;21;40
17;945;21;40
8;945;21;40
16;945;21;40
14;945;21;40
15;945;21;40
7;945;21;40
19;945;21;40
12;945;21;40
14;945;21;40
10;945;21;40
298;945;21;40
128;945;21;40
10;945;21;40
1;945;21;40
228;945;21;40
7;945;21;40
14;945;21;40
12;945;21;40
9;945;21;40
10;945;21;40
5;945;21;40
19;945;21;40
14;945;21;40
15;945;21;40
7;945;21;40
6;945;21;40
10;945;21;40
4;945;21;40
10;945;21;40
0;945;21;40
2;945;21;40
267;945;21;40
145;945;21;40
13;945;21;40
7;944;21;40
19;944;21;40
17;944;21;40
11;944;21;40
9;944;21;40
6;944;21;40
10;944;21;40
12;944;21;40
3;944;21;40
10;944;21;40
5;944;21;40
8;944;21;40
13;944;21;40
3;944;21;40
284;944;21;40
124;944;21;40
6;944;21;40
1;944;21;40
8;944;21;40
11;943;21;40
18;943;21;40
8;943;21;40
20;943;21;40
10;943;21;40
14;943;21;40
20;943;21;40
13;943;21;40
20;943;21;40
15;943;21;40
19;943;21;40
16;943;21;40
15;943;21;40
81;943;21;40
0;943;21;40
3;943;21;40
237;943;21;40
14;943;21;40
15;942;21;40
23;942;21;40
14;942;21;40
5;942;21;40
14;942;21;40
7;942;21;40
8;942;21;40
4;942;21;40
16;942;21;40
12;942;21;40
12;942;21;40
11;942;21;40
13;942;21;40
7;942;21;40
5;942;21;40
290;942;21;40
110;942;21;40
18;942;21;40
15;942;22;40
4;942;22;40
6;942;22;40
10;942;22;40
19;942;22;40
16;942;22;40
8;942;22;40
6;942;22;40
14;942;22;40
9;942;22;40
16;942;22;40
9;942;22;40
11;942;22;40
7;942;22;40
319;942;22;40
65;942;22;40
2;942;22;40
4;942;22;40
14;942;22;40
9;941;22;40
8;941;22;40
26;941;22;40
18;941;22;40
15;941;22;40
21;941;22;40
15;941;22;40
19;941;22;40
10;941;22;40
19;941;22;40
12;941;22;40
16;941;22;40
8;941;22;40
54;941;22;40
6;941;22;40
5;941;22;40
281;941;22;40
19;941;22;40
10;941;22;40
14;941;22;40
11;941;22;40
11;941;22;40
5;941;22;40
6;941;22;40
6;941;22;40
4;941;22;40
14;941;22;40
20;941;22;40
10;941;22;40
17;941;22;40
16;941;22;40
10;941;22;40
10;941;22;40
303;941;22;40
70;941;22;40
8;941;22;40
19;941;22;40
6;941;22;40
18;941;22;40
11;941;22;40
13;941;22;40
8;941;22;40
14;941;22;40
7;941;22;40
13;941;22;40
10;941;22;40
10;941;22;40
6;941;22;40
9;941;22;40
8;941;22;40
317;941;22;40
13;941;22;40
3;941;22;40
8;941;22;40
6;941;22;40
10;941;22;40
10;941;22;40
9;941;22;40
5;941;22;40
8;941;22;40
11;941;22;40
14;941;22;40
10;941;22;40
10;941;22;40
7;941;22;40
11;941;22;40
12;941;22;40
11;941;22;40
4;941;22;40
7;941;22;40
14;941;22;40
341;941;22;40
6;941;22;40
9;940;22;40
7;940;22;40
16;940;22;40
12;940;22;40
6;940;22;40
7;940;22;40
8;940;22;40
8;940;22;40
9;940;22;40
10;940;22;40
6;940;22;40
3;940;22;40
15;940;22;40
4;940;22;40
25;940;22;40
278;940;22;40
5;940;22;40
5;940;22;40
14;940;22;40
12;940;22;40
12;940;22;40
8;940;22;40
10;940;22;40
9;940;22;40
20;940;22;40
17;940;22;40
21;940;22;40
13;940;22;40
13;940;22;40
17;940;22;40
10;940;22;40
10;940;22;40
293;940;22;40
2;940;22;40
4;940;22;40
17;940;22;40
9;940;22;40
15;939;22;40
10;939;22;40
16;939;22;40
7;939;22;40
9;939;22;40
12;939;22;40
15;939;22;40
6;939;22;40
15;939;22;40
15;939;22;40
10;939;22;40
13;939;22;40
5;939;22;40
0;939;22;40
0;939;22;40
27;939;22;40
273;939;22;40
5;939;22;40
10;939;22;40
12;939;22;40
11;939;22;40
3;939;22;40
9;939;22;40
15;939;22;40
13;939;22;40
17;939;22;40
4;939;22;40
12;939;22;40
15;939;22;40
16;939;22;40
4;939;22;40
17;939;22;40
39;939;22;40
284;939;22;40
0;939;22;40
8;939;22;40
14;939;22;40
11;938;22;40
5;938;22;40
12;938;22;40
17;938;22;40
14;938;22;40
12;938;22;40
22;938;22;40
15;938;22;40
8;938;22;40
12;938;22;40
20;938;22;40
5;938;22;40
17;938;22;40
206;938;22;40
1;938;22;40
5;938;22;40
29;938;22;40
15;938;22;40
14;937;22;40
12;937;22;40
7;937;22;40
8;937;22;40
10;937;22;40
10;937;22;40
8;937;22;40
4;937;22;40
9;937;22;40
7;937;22;40
9;937;22;40
19;937;22;40
9;937;22;40
0;937;22;40
9;937;22;40
49;937;22;40
269;937;22;40
0;937;22;40
15;937;22;40
8;937;22;40
18;937;22;40
10;937;22;40
6;937;22;40
15;937;22;40
11;937;22;40
11;937;22;40
5;937;22;40
6;937;22;40
13;937;22;40
10;937;22;40
11;937;22;40
12;937;22;40
58;937;22;40
277;937;22;40
0;937;22;40
1;937;22;40
16;937;22;40
10;936;22;40
7;936;22;40
6;936;22;40
11;936;22;40
9;936;22;40
7;936;22;40
14;936;22;40
16;936;22;40
7;936;22;40
17;936;22;40
24;936;22;40
7;936;22;40
19;936;22;40
280;936;22;40
0;936;22;40
3;936;22;40
37;936;22;40
281;936;22;40
14;936;22;40
19;935;22;40
18;935;22;40
11;935;22;40
7;935;22;40
6;935;22;40
17;935;22;40
11;935;22;40
15;935;22;40
8;935;22;40
11;935;22;40
12;935;22;40
11;935;22;40
0;935;22;40
1;935;22;40
40;935;22;40
276;935;22;40
0;935;22;40
16;935;22;40
17;934;22;39
9;934;22;39
12;934;22;39
8;934;22;39
15;934;22;39
10;934;22;39
13;934;22;39
6;934;22;39
8;934;22;39
9;934;22;39
19;934;22;39
5;934;22;39
8;934;22;39
48;934;22;39
270;934;22;39
0;934;22;39
17;934;22;39
11;934;22;39
15;930;22;40
8;930;22;40
8;930;22;40
5;930;22;40
9;930;22;40
7;930;22;40
12;930;22;40
8;930;22;40
2;930;22;40
14;930;22;40
19;930;22;40
12;930;22;40
9;930;22;40
213;930;22;40
0;930;22;40
3;930;22;40
30;930;22;40
309;930;22;40
19;930;22;40
13;930;22;39
10;930;22;39
11;930;22;39
8;930;22;39
19;930;22;39
15;930;22;39
10;930;22;39
11;930;22;39
23;930;22;39
11;930;22;39
13;930;22;39
12;930;22;39
10;930;22;39
3;930;22;39
33;930;22;39
263;930;22;39
5;930;22;39
13;930;22;39
16;930;22;39
9;930;22;39
7;930;22;39
10;930;22;39
3;930;22;39
19;930;22;39
7;930;22;39
5;930;22;39
9;930;22;39
10;930;22;39
9;930;22;39
9;930;22;39
10;930;22;39
50;930;22;39
245;930;22;39
0;930;22;39
19;930;22;39
27;930;22;39
9;930;22;39
22;929;22;39
10;929;22;39
8;929;22;39
7;929;22;39
13;929;22;39
10;929;22;39
9;929;22;39
9;929;22;39
5;929;22;39
11;929;22;39
9;929;22;39
17;929;22;39
272;929;22;39
0;929;22;39
6;929;22;39
42;929;22;39
290;929;22;39
19;929;22;39
13;928;22;39
14;928;22;39
8;928;22;39
18;928;22;39
17;928;22;39
12;928;22;39
12;928;22;39
12;928;22;39
9;928;22;39
10;928;22;39
6;928;22;39
7;928;22;39
13;928;22;39
2;928;22;39
61;928;22;39
286;928;22;39
0;928;22;39
15;928;22;39
17;928;22;39
18;928;22;39
14;928;22;39
18;928;22;39
18;928;22;39
11;928;22;39
8;928;22;39
16;928;22;39
17;928;22;39
7;928;22;39
7;928;22;39
9;928;22;39
16;928;22;39
88;928;22;39
256;928;22;39
0;928;22;39
1;928;22;39
50;928;22;39
11;928;22;39
17;927;22;39
10;927;22;39
9;927;22;39
19;927;22;39
12;927;22;39
13;927;22;39
8;927;22;39
21;927;22;39
10;927;22;39
10;927;22;39
6;927;22;39
5;927;22;39
7;927;22;39
0;927;22;39
3;927;22;39
89;927;22;39
272;927;22;39
4;927;22;39
7;927;22;39
15;927;22;39
7;927;22;39
8;927;22;39
17;927;22;39
5;927;22;39
8;927;22;39
5;927;22;39
13;927;22;39
11;927;22;39
21;927;22;39
13;927;22;39
14;927;22;39
4;927;22;39
138;927;22;39
261;927;22;39
0;927;22;39
0;927;22;39
29;927;22;39
24;926;22;39
7;926;22;39
9;926;22;39
4;926;22;39
10;926;22;39
10;926;22;39
29;926;22;39
12;926;22;39
15;926;22;39
13;926;22;39
8;926;22;39
9;926;22;39
195;926;22;39
210;926;22;39
0;926;22;39
0;926;22;39
103;926;22;39
12;926;22;39
9;926;22;39
12;926;22;39
10;926;22;39
13;926;22;39
9;926;22;39
11;926;22;39
11;926;22;39
6;926;22;39
12;926;22;39
14;926;22;39
11;926;22;39
15;926;22;39
12;926;22;39
0;926;22;39
0;926;22;39
145;926;22;39
219;926;22;39
14;926;22;39
18;923;22;39
8;923;22;39
10;923;22;39
12;923;22;39
12;923;22;39
11;923;22;39
10;923;22;39
8;923;22;39
6;923;22;39
6;923;22;39
10;923;22;39
9;923;22;39
6;923;22;39
5;923;22;39
200;923;22;39
204;923;22;39
0;923;22;39
1;923;22;39
8;923;22;39
8;918;22;39
6;918;22;39
4;918;22;39
12;918;22;39
14;918;22;39
11;918;22;39
5;918;22;39
16;918;22;39
11;918;22;39
11;918;22;39
12;918;22;39
20;918;22;39
7;918;22;39
184;918;22;39
0;918;22;39
4;918;22;39
189;918;22;39
13;918;22;39
13;915;22;39
17;915;22;39
7;915;22;39
11;915;22;39
11;915;22;39
19;915;22;39
11;915;22;39
14;915;22;39
16;915;22;39
16;915;22;39
7;915;22;39
7;915;22;39
13;915;22;39
0;915;22;39
3;915;22;39
228;915;22;39
190;915;22;39
0;915;22;39
8;915;22;39
15;914;22;39
16;914;22;39
12;914;22;39
7;914;22;39
5;914;22;39
13;914;22;39
8;914;22;39
12;914;22;39
15;914;22;39
21;914;22;39
11;914;22;39
6;914;22;39
1;914;22;39
259;914;22;39
150;914;22;39
2;914;22;39
1;914;22;39
9;914;22;39
7;913;22;39
16;913;22;39
13;913;22;39
9;913;22;39
12;913;22;39
9;913;22;39
15;913;22;39
7;913;22;39
5;913;22;39
4;913;22;39
9;913;22;39
7;913;22;39
12;913;22;39
118;913;22;39
6;913;22;39
1;913;22;39
232;913;22;39
10;913;22;39
15;912;22;39
6;912;22;39
7;912;22;39
12;912;22;39
18;912;22;39
11;912;22;39
14;912;22;39
13;912;22;39
8;912;22;39
10;912;22;39
9;912;22;39
9;912;22;39
11;912;22;39
3;912;22;39
2;912;22;39
250;912;22;39
160;912;22;39
0;912;22;39
6;912;22;39
13;912;22;39
7;912;22;39
13;912;22;39
10;912;22;39
18;912;22;39
5;912;22;39
18;912;22;39
13;912;22;39
7;912;22;39
7;912;22;39
19;912;22;39
5;912;22;39
17;912;22;39
275;912;22;39
140;912;22;39
6;912;22;39
0;912;22;39
19;912;22;39
15;912;22;39
9;912;22;39
4;912;22;39
7;912;22;39
11;912;22;39
10;912;22;39
4;912;22;39
12;912;22;39
17;912;22;39
11;912;22;39
11;912;22;39
10;912;22;39
20;912;22;39
92;912;22;39
3;912;22;39
5;912;22;39
260;912;22;39
166;912;22;39
7;912;22;39
13;911;22;39
6;911;22;39
14;911;22;39
7;911;22;39
15;911;22;39
16;911;22;39
17;911;22;39
16;911;22;39
7;911;22;39
13;911;22;39
8;911;22;39
11;911;22;39
3;911;22;39
4;911;22;39
265;911;22;39
116;911;22;39
4;911;22;39
20;911;22;39
12;910;22;39
11;910;22;39
10;910;22;39
10;910;22;39
5;910;22;39
14;910;22;39
8;910;22;39
9;910;22;39
12;910;22;39
16;910;22;39
5;910;22;39
8;910;22;39
6;910;22;39
318;910;22;39
105;910;22;39
7;910;22;39
1;910;22;39
17;910;22;39
4;909;22;39
11;909;22;39
9;909;22;39
20;909;22;39
8;909;22;39
14;909;22;39
11;909;22;39
14;909;22;39
17;909;22;39
19;909;22;39
6;909;22;39
13;909;22;39
16;909;22;39
81;909;22;39
3;909;22;39
4;909;22;39
270;909;22;39
133;909;22;39
12;909;22;39
5;909;22;39
14;909;22;39
13;909;22;39
13;909;22;39
7;909;22;39
9;909;22;39
12;909;22;39
19;909;22;39
7;909;22;39
8;909;22;39
7;909;22;39
6;909;22;39
17;909;22;39
5;909;22;39
266;909;22;39
116;909;22;39
5;909;22;39
12;909;22;39
5;908;22;39
17;908;22;39
15;908;22;39
6;908;22;39
14;908;22;39
13;908;22;39
9;908;22;39
12;908;22;39
10;908;22;39
11;908;22;39
19;908;22;39
13;908;22;39
8;908;22;39
282;908;22;39
94;908;22;39
5;908;22;39
3;908;22;39
243;908;22;39
18;908;22;39
15;908;22;39
12;908;22;39
17;908;22;39
12;908;22;39
11;908;22;39
9;908;22;39
7;908;22;39
15;908;22;39
8;908;22;39
17;908;22;39
11;908;22;39
10;908;22;39
47;908;22;39
2;908;22;39
2;908;22;39
281;908;22;39
132;908;22;39
8;908;22;39
11;908;22;39
22;908;22;39
6;908;22;39
17;908;22;39
8;908;22;39
14;908;22;39
11;908;22;39
13;908;22;39
10;908;22;39
7;908;22;39
14;908;22;39
17;908;22;39
7;908;22;39
3;908;22;39
274;908;22;39
119;908;22;39
3;908;22;39
11;908;22;39
11;907;22;39
9;907;22;39
8;907;22;39
5;907;22;39
12;907;22;39
7;907;22;39
8;907;22;39
8;907;22;39
7;907;22;39
12;907;22;39
24;907;22;39
7;907;22;39
5;907;22;39
296;907;22;39
88;907;22;39
4;907;22;39
2;907;22;39
281;907;22;39
14;907;22;39
5;908;22;39
11;908;22;39
12;908;22;39
11;908;22;39
12;908;22;39
6;908;22;39
7;908;22;39
12;908;22;39
11;908;22;39
16;908;22;39
13;908;22;39
12;908;22;39
12;908;22;39
10;908;22;39
2;908;22;39
287;908;22;39
162;908;22;39
17;908;22;39
11;905;22;39
10;905;22;39
14;905;22;39
11;905;22;39
14;905;22;39
11;905;22;39
16;905;22;39
14;905;22;39
15;905;22;39
12;905;22;39
14;905;22;39
8;905;22;39
14;905;22;39
3;905;22;39
290;905;22;39
140;905;22;39
1;905;22;39
0;905;22;39
11;905;22;39
9;905;22;39
8;905;22;39
17;905;22;39
10;905;22;39
11;905;22;39
9;905;22;39
9;905;22;39
8;905;22;39
16;905;22;39
11;905;22;39
9;905;22;39
11;905;22;39
297;905;22;39
94;905;22;39
2;905;22;39
0;905;22;39
226;905;22;39
10;905;22;39
9;902;22;39
20;902;22;39
14;902;22;39
14;902;22;39
10;902;22;39
8;902;22;39
11;902;22;39
9;902;22;39
13;902;22;39
11;902;22;39
19;902;22;39
17;902;22;39
7;902;22;39
0;902;22;39
1;902;22;39
232;902;22;39
145;902;22;39
8;902;22;39
18;898;22;39
8;898;22;39
12;898;22;39
9;898;22;39
9;898;22;39
11;898;22;39
12;898;22;39
7;898;22;39
8;898;22;39
5;898;22;39
8;898;22;39
9;898;22;39
7;898;22;39
2;898;22;39
246;898;22;39
152;898;22;39
0;898;22;39
0;898;22;39
14;898;22;39
6;897;22;39
17;897;22;39
9;897;22;39
9;897;22;39
9;897;22;39
7;897;22;39
11;897;22;39
19;897;22;39
13;897;22;39
9;897;22;39
3;897;22;39
14;897;22;39
8;897;22;39
121;897;22;39
0;897;22;39
0;897;22;39
246;897;22;39
4;897;22;39
16;897;22;39
17;897;22;39
7;897;22;39
5;897;22;39
23;897;22;39
9;897;22;39
11;897;22;39
8;897;22;39
13;897;22;39
7;897;22;39
8;897;22;39
6;897;22;39
7;897;22;39
2;897;22;39
1;897;22;39
224;897;22;39
185;897;22;39
13;897;22;39
7;897;22;39
6;897;22;39
23;897;22;39
6;897;22;39
6;897;22;39
4;897;22;39
3;897;22;39
5;897;22;39
10;897;22;39
8;897;22;39
10;897;22;39
10;897;22;39
13;897;22;39
2;897;22;39
250;897;22;39
141;897;22;39
2;897;22;39
0;897;22;39
8;897;22;39
11;896;22;39
16;896;22;39
9;896;22;39
7;896;22;39
11;896;22;39
13;896;22;39
11;896;22;39
7;896;22;39
11;896;22;39
6;896;22;39
14;896;22;39
12;896;22;39
5;896;22;39
97;896;22;39
2;896;22;39
2;896;22;39
271;896;22;39
13;896;22;39
9;896;22;39
7;896;22;39
7;896;22;39
17;896;22;39
9;896;22;39
11;896;22;39
7;896;22;39
10;896;22;39
12;896;22;39
8;896;22;39
10;896;22;39
11;896;22;39
11;896;22;39
3;896;22;39
2;896;22;39
248;896;22;39
128;896;22;39
1;896;22;39
10;896;22;39
16;897;22;39
21;897;22;39
14;897;22;39
12;897;22;39
22;897;22;39
13;897;22;39
10;897;22;39
7;897;22;39
8;897;22;39
12;897;22;39
21;897;22;39
10;897;22;39
8;897;22;39
274;897;22;39
125;897;22;39
9;897;22;39
3;897;22;39
9;897;22;39
13;896;22;39
11;896;22;39
10;896;22;39
8;896;22;39
7;896;22;39
17;896;22;39
16;896;22;39
8;896;22;39
23;896;22;39
9;896;22;39
12;896;22;39
9;896;22;39
6;896;22;39
98;896;22;39
8;896;22;39
2;896;22;39
290;896;22;39
7;896;22;39
11;894;22;39
11;894;22;39
10;894;22;39
24;894;22;39
13;894;22;39
17;894;22;39
8;894;22;39
16;894;22;39
8;894;22;39
10;894;22;39
10;894;22;39
17;894;22;39
14;894;22;39
3;894;22;39
3;894;22;39
288;894;22;39
111;894;22;39
8;894;22;39
16;894;22;39
8;893;22;39
11;893;22;39
8;893;22;39
16;893;22;39
7;893;22;39
4;893;22;39
10;893;22;39
11;893;22;39
5;893;22;39
2;893;22;39
9;893;22;39
5;893;22;39
11;893;22;39
296;893;22;39
90;893;22;39
3;893;22;39
4;893;22;39
6;893;22;39
9;893;22;39
7;893;22;39
8;893;22;39
15;893;22;39
10;893;22;39
6;893;22;39
6;893;22;39
5;893;22;39
6;893;22;39
10;893;22;39
12;893;22;39
8;893;22;39
5;893;22;39
55;893;22;39
4;893;22;39
3;893;22;39
293;893;22;39
119;893;22;39
11;893;22;39
17;891;22;39
8;891;22;39
11;891;22;39
8;891;22;39
16;891;22;39
11;891;22;39
14;891;22;39
7;891;22;39
6;891;22;39
6;891;22;39
8;891;22;39
6;891;22;39
4;891;22;39
5;891;22;39
312;891;22;39
82;891;22;39
8;891;22;39
6;891;22;39
9;891;22;39
13;891;22;39
9;891;22;39
9;891;22;39
8;891;22;39
6;891;22;39
5;891;22;39
5;891;22;39
11;891;22;39
10;891;22;39
7;891;22;39
8;891;22;39
14;891;22;39
328;891;22;39
36;891;22;39
3;891;22;39
4;891;22;39
15;891;22;39
6;890;22;39
6;890;22;39
7;890;22;39
13;890;22;39
10;890;22;39
10;890;22;39
6;890;22;39
8;890;22;39
7;890;22;39
5;890;22;39
9;890;22;39
6;890;22;39
13;890;22;39
38;890;22;39
3;890;22;39
7;890;22;39
324;890;22;39
69;890;22;39
6;890;22;39
9;889;22;39
10;889;22;39
9;889;22;39
8;889;22;39
7;889;22;39
10;889;22;39
16;889;22;39
15;889;22;39
8;889;22;39
10;889;22;39
9;889;22;39
9;889;22;39
9;889;22;39
12;889;22;39
325;889;22;39
46;889;22;39
5;889;22;39
7;889;22;39
9;889;22;39
11;889;22;39
10;889;22;39
7;889;22;39
9;889;22;39
12;889;22;39
9;889;22;39
14;889;22;39
9;889;22;39
5;889;22;39
6;889;22;39
8;889;22;39
9;889;22;39
307;889;22;39
15;889;22;39
3;889;22;39
9;889;22;39
329;889;22;39
8;889;22;39
7;888;22;39
5;888;22;39
10;888;22;39
11;888;22;39
11;888;22;39
7;888;22;39
5;888;22;39
2;888;22;39
9;888;22;39
5;888;22;39
5;888;22;39
7;888;22;39
0;888;22;39
4;888;22;39
15;888;22;39
283;888;22;39
33;888;22;39
8;888;22;39
7;887;22;39
8;887;22;39
8;887;22;39
10;887;22;39
10;887;22;39
6;887;22;39
7;887;22;39
10;887;22;39
8;887;22;39
9;887;22;39
11;887;22;39
8;887;22;39
7;887;22;39
23;887;22;39
297;887;22;39
4;887;22;39
2;887;22;39
8;887;22;39
8;886;22;39
10;886;22;39
13;886;22;39
8;886;22;39
7;886;22;39
7;886;22;39
8;886;22;39
12;886;22;39
13;886;22;39
7;886;22;39
6;886;22;39
11;886;22;39
13;886;22;39
289;886;22;39
0;886;22;39
2;886;22;39
16;886;22;39
330;886;22;39
9;886;22;39
11;885;22;39
7;885;22;39
9;885;22;39
9;885;22;39
11;885;22;39
10;885;22;39
10;885;22;39
12;885;22;39
9;885;22;39
11;885;22;39
11;885;22;39
13;885;22;39
9;885;22;39
3;885;22;39
19;885;22;39
343;885;22;39
6;885;22;39
12;885;22;39
10;884;22;39
6;884;22;39
7;884;22;39
7;884;22;39
8;884;22;39
8;884;22;39
9;884;22;39
9;884;22;39
5;884;22;39
8;884;22;39
11;884;22;39
11;884;22;39
7;884;22;39
23;884;22;39
302;884;22;39
4;884;22;39
2;884;22;39
11;884;22;39
11;884;22;39
6;884;22;38
7;884;22;38
5;884;22;38
8;884;22;38
10;884;22;38
11;884;22;38
13;884;22;38
6;884;22;38
7;884;22;38
9;884;22;38
11;884;22;38
9;884;22;38
241;884;22;38
4;884;22;38
7;884;22;38
19;884;22;38
329;884;22;38
11;884;22;38
19;884;22;38
11;884;22;38
10;884;22;38
6;884;22;38
6;884;22;38
9;884;22;38
8;884;22;38
8;884;22;38
9;884;22;38
9;884;22;38
11;884;22;38
12;884;22;38
18;884;22;38
0;884;22;38
25;884;22;38
313;884;22;38
12;884;22;38
10;884;22;38
6;884;22;38
8;884;22;38
8;884;22;38
9;884;22;38
11;884;22;38
13;884;22;38
13;884;22;38
5;884;22;38
8;884;22;38
8;884;22;38
9;884;22;38
10;884;22;38
10;884;22;38
34;884;22;38
277;884;22;38
0;884;22;38
9;884;22;38
18;884;22;38
4;884;22;38
11;884;22;39
9;884;22;39
7;884;22;39
15;884;22;39
6;884;22;39
7;884;22;39
10;884;22;39
8;884;22;39
9;884;22;39
16;884;22;39
11;884;22;39
8;884;22;39
5;884;22;39
0;884;22;39
1;884;22;39
28;884;22;39
292;884;22;39
6;884;22;39
8;882;22;38
7;882;22;38
10;882;22;38
8;882;22;38
8;882;22;38
8;882;22;38
10;882;22;38
12;882;22;38
12;882;22;38
6;882;22;38
7;882;22;38
10;882;22;38
8;882;22;38
1;882;22;38
43;882;22;38
286;882;22;38
0;882;22;38
3;882;22;38
10;882;22;38
10;881;22;38
10;881;22;38
7;881;22;38
6;881;22;38
8;881;22;38
8;881;22;38
7;881;22;38
11;881;22;38
11;881;22;38
13;881;22;38
5;881;22;38
8;881;22;38
60;881;22;38
237;881;22;38
0;881;22;38
2;881;22;38
32;881;22;38
8;881;22;38
6;879;22;38
8;879;22;38
7;879;22;38
9;879;22;38
8;879;22;38
9;879;22;38
9;879;22;38
14;879;22;38
14;879;22;38
8;879;22;38
11;879;22;38
10;879;22;38
12;879;22;38
0;879;22;38
0;879;22;38
50;879;22;38
308;879;22;38
10;879;22;38
11;878;22;38
9;878;22;38
9;878;22;38
8;878;22;38
10;878;22;38
9;878;22;38
7;878;22;38
8;878;22;38
9;878;22;38
7;878;22;38
7;878;22;38
8;878;22;38
7;878;22;38
0;878;22;38
74;878;22;38
276;878;22;38
0;878;22;38
1;878;22;38
12;878;22;38
6;878;22;38
6;878;22;38
8;878;22;38
11;878;22;38
11;878;22;38
11;878;22;38
6;878;22;38
7;878;22;38
9;878;22;38
13;878;22;38
11;878;22;38
10;878;22;38
11;878;22;38
277;878;22;38
0;878;22;38
3;878;22;38
52;878;22;38
8;878;22;38
9;878;22;38
5;878;22;38
9;878;22;38
7;878;22;38
9;878;22;38
6;878;22;38
14;878;22;38
12;878;22;38
8;878;22;38
5;878;22;38
6;878;22;38
8;878;22;38
11;878;22;38
0;878;22;38
1;878;22;38
80;878;22;38
311;878;22;38
0;878;22;38
10;878;22;38
11;877;22;38
8;877;22;38
8;877;22;38
12;877;22;38
7;877;22;38
11;877;22;38
11;877;22;38
9;877;22;38
9;877;22;38
10;877;22;38
9;877;22;38
7;877;22;38
1;877;22;38
115;877;22;38
247;877;22;38
0;877;22;38
1;877;22;38
9;877;22;38
5;875;22;38
8;875;22;38
9;875;22;38
15;875;22;38
9;875;22;38
10;875;22;38
7;875;22;38
6;875;22;38
5;875;22;38
8;875;22;38
11;875;22;38
13;875;22;38
8;875;22;38
218;875;22;38
0;875;22;38
0;875;22;38
87;875;22;38
17;875;22;38
8;875;22;38
12;875;22;38
8;875;22;38
13;875;22;38
11;875;22;38
4;875;22;38
8;875;22;38
13;875;22;38
10;875;22;38
6;875;22;38
